filename,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
000.png,1,0.0,0.0,0.0,26.182987,18.57785,0.0,0.0,18.001091,0.0,0.0,0.0,0.0,0.0,0.0,47.05781,0.0,43.09907,0.0,40.946247,0.71322536,2.0818224,0.0,0.0,0.0,63.406216,0.0,19.65332,0.0,0.0,0.0,0.0,1.5444335,0.0,38.8128,41.111343,0.0,0.0,0.0,24.188845,0.0,0.0,0.0,0.0,0.0,0.0,33.38551,0.0,25.862526,36.884346,20.249699,32.717957,20.48611,0.0,0.0,37.19458,0.0,0.0,0.0,0.0,0.0,0.0,35.930573,0.0,40.10859,1.0079329,0.0,0.0,24.696987,0.0,11.359971,4.096129,33.421852,22.874157,0.0,0.0,43.02013,0.0,49.36564,0.0,26.663067,0.0,0.0,0.0,50.783173,57.915085,9.161592,7.027565,0.0,0.0,0.0,7.0755906,0.0,0.0,0.0,0.0,0.18508165,0.0,0.0,12.60247,0.0,11.111882,0.0,2.5263681,0.0,46.43295,1.2752098,0.0,51.157776,0.7525204,14.669717,0.0,20.38464,2.2676606,0.0,0.0,0.0,0.0,0.0,37.066643,0.0,0.0,0.0,0.0,0.0,0.0,12.254803,0.0,0.0
001.png,1,0.0,0.0,0.0,22.30562,15.598441,0.0,0.0,15.431955,0.0,0.0,0.0,0.0,0.0,0.0,39.407406,0.0,36.121975,0.0,34.456078,0.5996518,2.1919045,0.0,0.0,0.0,53.239964,0.0,16.454428,0.0,0.0,0.0,0.0,1.0922291,0.0,32.435486,34.137978,0.0,0.0,0.0,20.454273,0.0,0.0,0.0,0.0,0.0,0.0,28.222015,0.0,22.003365,31.147427,16.718412,27.131618,17.340717,0.0,0.0,30.933466,0.0,0.0,0.0,0.0,0.0,0.0,30.72708,0.0,33.853146,0.7918503,0.0,0.0,20.7767,0.0,9.167521,3.430244,28.379986,19.365782,0.0,0.0,35.972076,0.0,41.7112,0.0,22.756687,0.0,0.0,0.0,42.79112,48.889282,7.5399632,5.5871596,0.0,0.0,0.0,5.8055544,0.0,0.0,0.0,0.0,0.21961443,0.0,0.0,10.937738,0.0,9.175606,0.0,2.6357508,0.0,39.020615,0.9445833,0.0,43.269493,0.4470752,12.1219,0.0,17.288134,1.8227377,0.0,0.0,0.0,0.0,0.0,31.233768,0.0,0.0,0.0,0.0,0.0,0.0,10.35525,0.0,0.0
002.png,1,0.0,0.0,0.0,10.269892,6.754741,0.0,0.0,6.392251,0.0,0.0,0.0,0.0,0.0,0.0,17.51378,0.0,16.099468,0.0,14.374656,0.6301588,0.9816222,0.0,0.0,0.0,23.520552,0.0,6.933195,0.0,0.0,0.0,0.0,1.0114112,0.0,14.715453,15.001628,0.0,0.0,0.0,8.686875,0.0,0.0,0.0,0.0,0.0,0.0,11.80698,0.0,9.531307,14.011046,7.0818214,12.314779,7.456345,0.0,0.0,14.584218,0.0,0.0,0.0,0.0,0.0,0.0,13.993208,0.0,15.196906,0.0,0.0,0.0,9.036157,0.0,4.470167,1.8877444,12.499144,9.140346,0.0,0.0,15.894149,0.0,18.64671,0.0,10.222816,0.0,0.0,0.0,18.732979,21.392614,3.171325,2.810796,0.0,0.0,0.0,2.752341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294232,0.0,4.1082377,0.0,0.46697667,0.0,16.74582,0.9625366,0.0,19.086449,0.44320592,5.2137775,0.0,6.8293934,0.5304086,0.0,0.0,0.0,0.0,0.0,13.636346,0.0,0.0,0.0,0.0,0.0,0.0,4.96945,0.0,0.0
003.png,1,0.0,0.0,0.0,25.396692,17.666693,0.0,0.0,17.041502,0.0,0.0,0.0,0.0,0.0,0.0,45.32784,0.0,41.825047,0.0,40.061565,0.45373702,1.9463793,0.0,0.0,0.0,61.538677,0.0,18.498993,0.0,0.0,0.0,0.0,2.0082815,0.0,37.881607,39.67271,0.0,0.0,0.0,23.283482,0.0,0.0,0.0,0.0,0.0,0.0,32.175552,0.0,25.901653,36.35337,19.324223,31.559847,20.106281,0.0,0.0,35.893875,0.04613584,0.0,0.0,0.0,0.0,0.0,35.23023,0.0,38.50093,1.0596468,0.0,0.0,23.548725,0.0,11.414777,4.3026333,32.28629,22.204939,0.0,0.0,41.907837,0.0,47.930527,0.0,25.544518,0.0,0.0,0.0,49.423847,56.165516,8.844252,6.7071505,0.0,0.0,0.0,6.617215,0.0,0.0,0.0,0.0,0.29500312,0.0,0.0,12.121203,0.0,10.779517,0.0,2.3123693,0.0,44.9989,1.6118394,0.0,49.90139,0.33528298,14.072705,0.0,19.80982,2.2905495,0.0,0.0,0.0,0.0,0.0,36.6757,0.0,0.0,0.0,0.0,0.0,0.0,11.718846,0.0,0.0
004.png,1,0.0,0.0,0.0,24.426537,16.976965,0.0,0.0,16.869978,0.0,0.0,0.0,0.0,0.0,0.0,44.56478,0.0,41.352776,0.0,39.824146,0.06458879,1.330898,0.0,0.0,0.0,59.919743,0.0,18.115618,0.0,0.0,0.0,0.0,2.2035007,0.0,37.361824,39.192036,0.0,0.0,0.0,22.812473,0.0,0.0,0.0,0.0,0.0,0.0,31.871786,0.0,25.32207,35.43474,19.492153,30.922537,19.863811,0.0,0.0,34.714725,0.25762838,0.0,0.0,0.0,0.0,0.0,33.532715,0.0,37.58476,1.3849517,0.0,0.0,22.99897,0.0,11.251592,4.1972313,31.328697,21.43921,0.0,0.0,41.05251,0.0,46.49873,0.0,24.69148,0.0,0.0,0.0,48.052723,54.83049,8.781185,6.6164894,0.0,0.0,0.0,6.6869497,0.0,0.0,0.0,0.0,0.4693033,0.0,0.0,11.484454,0.0,10.608544,0.0,2.151064,0.0,44.664497,1.4052631,0.0,48.684555,0.6086992,13.56489,0.0,19.09214,2.4816658,0.0,0.0,0.0,0.0,0.0,35.855236,0.0,0.0,0.0,0.0,0.0,0.0,11.615442,0.0,0.0
005.png,1,0.0,0.0,0.0,20.843195,14.499314,0.0,0.0,14.311421,0.0,0.0,0.0,0.0,0.0,0.0,38.09684,0.0,35.4737,0.0,34.44764,0.0,1.2703242,0.0,0.0,0.0,51.495403,0.0,15.753387,0.0,0.0,0.0,0.0,1.4698058,0.0,31.905087,32.97995,0.0,0.0,0.0,20.414986,0.0,0.0,0.0,0.0,0.0,0.0,27.718182,0.0,21.675655,30.473555,16.400051,26.104343,17.48462,0.0,0.0,29.812082,0.25055593,0.0,0.0,0.0,0.0,0.0,29.326153,0.0,32.40026,1.153762,0.0,0.0,19.590843,0.0,9.181324,3.7542233,27.003923,18.740866,0.0,0.0,34.808697,0.0,40.16229,0.0,21.599247,0.0,0.0,0.0,41.509655,47.206276,7.473379,5.8219833,0.0,0.0,0.0,6.0662074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.119468,0.0,9.0729885,0.0,2.5443172,0.0,38.448162,0.7393693,0.0,42.271774,0.55639195,11.917678,0.0,16.49183,2.1843436,0.0,0.0,0.0,0.0,0.0,30.773685,0.0,0.0,0.0,0.0,0.0,0.0,9.619759,0.0,0.0
006.png,1,0.0,0.0,0.0,9.062349,6.736525,0.0,0.0,6.4546127,0.0,0.0,0.0,0.0,0.0,0.0,17.700056,0.0,15.615485,0.0,14.986279,0.0042854594,0.8661849,0.0,0.0,0.0,22.835249,0.0,7.0379224,0.0,0.0,0.0,0.0,1.4181831,0.0,14.5092125,15.3481655,0.0,0.0,0.0,8.968605,0.0,0.0,0.0,0.0,0.0,0.0,12.708171,0.0,9.845566,14.003714,7.5012803,11.84471,7.5963874,0.0,0.0,13.809572,0.4168195,0.0,0.0,0.0,0.0,0.0,13.180007,0.0,14.646443,0.48685664,0.0,0.0,8.245134,0.0,4.8039947,1.8896589,11.970007,8.595861,0.0,0.0,15.495101,0.0,18.418516,0.0,9.539403,0.0,0.0,0.0,18.305204,20.968521,3.6817553,2.660548,0.0,0.0,0.0,2.829112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.419382,0.0,4.1505938,0.0,0.64124966,0.0,17.578133,0.39299485,0.0,18.499561,0.5352387,5.6759086,0.0,6.7535143,0.97552603,0.0,0.0,0.0,0.0,0.0,13.565792,0.0,0.0,0.0,0.0,0.0,0.0,4.0097675,0.0,0.0
007.png,1,0.0,0.0,0.0,25.94365,18.00375,0.0,0.0,18.024298,0.0,0.0,0.0,0.0,0.0,0.0,46.806442,0.0,43.120403,0.0,41.721935,0.22654462,1.8545723,0.0,0.0,0.0,63.154705,0.0,19.201803,0.0,0.0,0.0,0.0,1.9685831,0.0,39.199623,40.88801,0.0,0.0,0.0,24.079454,0.0,0.0,0.0,0.0,0.0,0.0,33.43133,0.0,26.529888,37.097206,20.218437,32.13695,20.845844,0.0,0.0,36.658337,0.017330106,0.0,0.0,0.0,0.0,0.0,35.992916,0.0,39.84371,1.4407673,0.0,0.0,24.260338,0.0,11.514964,4.1235523,33.17504,22.99071,0.0,0.0,42.936398,0.0,49.282795,0.0,26.426392,0.0,0.0,0.0,50.627174,58.013336,9.085815,6.952637,0.0,0.0,0.0,7.094453,0.0,0.0,0.0,0.0,0.4020211,0.0,0.0,12.596233,0.0,10.968468,0.0,2.8448353,0.0,46.781902,1.4345287,0.0,51.3283,0.6835877,14.51611,0.0,20.214579,2.4280186,0.0,0.0,0.0,0.0,0.0,37.832195,0.0,0.0,0.0,0.0,0.0,0.0,12.061723,0.0,0.0
008.png,1,0.0,0.0,0.0,6.5570326,4.675691,0.0,0.0,3.9487438,0.0,0.0,0.0,0.0,0.0,0.0,10.828756,0.0,10.5187845,0.0,9.343354,0.0,1.1603513,0.0,0.0,0.0,15.031987,0.0,4.643381,0.0,0.0,0.0,0.0,0.11078751,0.0,9.679433,9.218254,0.0,0.0,0.0,5.5880456,0.0,0.0,0.0,0.0,0.0,0.0,7.6668987,0.0,5.92594,9.073111,5.012285,7.75293,4.976553,0.0,0.0,8.73371,0.0,0.0,0.0,0.0,0.0,0.0,8.721903,0.0,9.790304,0.0,0.0,0.0,6.0571504,0.0,2.3195596,1.1609979,8.350487,6.0825176,0.0,0.0,10.202767,0.0,12.058731,0.0,6.5903273,0.0,0.0,0.0,11.852205,13.898943,1.923191,1.7194592,0.0,0.0,0.0,1.5109425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.654293,0.0,2.7332678,0.0,0.27134183,0.0,10.781394,0.5750058,0.0,12.02195,0.0027429042,2.9939003,0.0,4.1814337,0.56110036,0.0,0.0,0.0,0.0,0.0,8.387353,0.0,0.0,0.0,0.0,0.0,0.0,3.1146033,0.0,0.0
009.png,1,0.0,0.0,0.0,37.72935,27.341541,0.0,0.0,25.686708,0.0,0.0,0.0,0.0,0.0,0.0,68.60353,0.0,63.165947,0.0,61.323143,0.011128669,2.615747,0.0,0.0,0.0,92.67674,0.0,28.825811,0.0,0.0,0.0,0.0,2.8678274,0.0,57.49604,59.82248,0.0,0.0,0.0,36.41399,0.0,0.0,0.0,0.0,0.0,0.0,49.02962,0.0,39.407204,54.52848,29.330624,48.39427,30.741165,0.0,0.0,54.10494,0.0063466397,0.0,0.0,0.0,0.0,0.0,52.43451,0.0,58.301495,2.5157537,0.0,0.0,36.3974,0.0,16.811037,6.037193,49.264816,32.93595,0.0,0.0,63.650906,0.0,71.6829,0.0,38.899235,0.0,0.0,0.0,74.56968,85.294136,13.80449,10.613389,0.0,0.0,0.0,10.043634,0.0,0.0,0.0,0.0,0.91184396,0.0,0.0,17.55148,0.0,16.526989,0.0,4.110732,0.0,68.53546,0.91746247,0.0,74.782616,0.62842035,21.86351,0.0,30.251474,3.6437454,0.0,0.0,0.0,0.0,0.0,55.277157,0.0,0.0,0.0,0.0,0.0,0.0,16.41161,0.0,0.0
