Learning Rate,Batch Size,Patience,Best Epoch,Validation Loss,Validation Accuracy,Sure (sn)
0.001,32,7,8,0.3882,0.8529,291.6
0.0001,16,5,12,0.4187,0.8529,310.0
0.0001,32,7,2,0.4887,0.8235,165.0
5e-05,32,7,7,0.4973,0.7941,246.8
0.001,32,5,4,0.5074,0.7941,174.0
5e-05,32,3,4,0.4549,0.7941,129.6
0.0001,32,5,3,0.4602,0.7941,155.4
5e-05,16,3,6,0.476,0.7941,155.5
5e-05,32,5,3,0.462,0.7647,143.5
0.001,32,3,4,0.4726,0.7647,118.5
0.0001,16,7,7,0.507,0.7647,249.5
5e-05,16,5,2,0.4631,0.7353,122.3
5e-05,16,7,4,0.4691,0.7353,186.2
0.0001,32,3,3,0.4785,0.7353,107.3
0.001,16,5,2,0.5019,0.7353,117.1
0.0001,16,3,4,0.4602,0.7353,132.3
0.001,16,7,3,0.5575,0.7059,166.5
0.001,16,3,8,0.5482,0.6765,183.3
